date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:45:14	999/999	---MCZ	200	added ('OK')	application/javascript	etag:W/%223e7-49773873e8%22	https://www.the99apartments.com/_next/static/chunks/95b64a6e-da1a965500b53201.js	C:/Users/Isaac%20Winner/Desktop/thepreciousapartment/www.the99apartments.com/_next/static/chunks/95b64a6e-da1a965500b53201.js	(from https://www.the99apartments.com/)
15:45:15	3598/3598	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e0e-49773873e8%22	https://www.the99apartments.com/_next/static/chunks/252f366e-a9f6ac978fc012a2.js	C:/Users/Isaac%20Winner/Desktop/thepreciousapartment/www.the99apartments.com/_next/static/chunks/252f366e-a9f6ac978fc012a2.js	(from https://www.the99apartments.com/)
15:45:15	460/460	---MCZ	200	added ('OK')	application/javascript	etag:W/%221cc-49773873e8%22	https://www.the99apartments.com/_next/static/chunks/ae51ba48-487ddb5985903e3d.js	C:/Users/Isaac%20Winner/Desktop/thepreciousapartment/www.the99apartments.com/_next/static/chunks/ae51ba48-487ddb5985903e3d.js	(from https://www.the99apartments.com/)
15:45:17	64972/64972	---MCZ	200	added ('OK')	application/javascript	etag:W/%22fdcc-49773873e8%22	https://www.the99apartments.com/_next/static/chunks/2310-46d33a746fa4808c.js	C:/Users/Isaac%20Winner/Desktop/thepreciousapartment/www.the99apartments.com/_next/static/chunks/2310-46d33a746fa4808c.js	(from https://www.the99apartments.com/)
15:45:17	51679/51679	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c9df-49773873e8%22	https://www.the99apartments.com/_next/static/chunks/4256-c31ece580f47bcb5.js	C:/Users/Isaac%20Winner/Desktop/thepreciousapartment/www.the99apartments.com/_next/static/chunks/4256-c31ece580f47bcb5.js	(from https://www.the99apartments.com/)
15:45:17	76317/76317	---MCZ	200	added ('OK')	application/javascript	etag:W/%2212a1d-49773873e8%22	https://www.the99apartments.com/_next/static/chunks/pages/index-6802a82983a049fc.js	C:/Users/Isaac%20Winner/Desktop/thepreciousapartment/www.the99apartments.com/_next/static/chunks/pages/index-6802a82983a049fc.js	(from https://www.the99apartments.com/)
15:45:17	8444/8444	---MCZ	200	added ('OK')	application/javascript	etag:W/%2220fc-49773873e8%22	https://www.the99apartments.com/_next/static/uL4oWBUllxCoJ0c9a_i_6/_buildManifest.js	C:/Users/Isaac%20Winner/Desktop/thepreciousapartment/www.the99apartments.com/_next/static/uL4oWBUllxCoJ0c9a_i_6/_buildManifest.js	(from https://www.the99apartments.com/)
15:45:18	113/113	---MCZ	200	added ('OK')	application/javascript	etag:W/%2271-49773873e8%22	https://www.the99apartments.com/_next/static/uL4oWBUllxCoJ0c9a_i_6/_ssgManifest.js	C:/Users/Isaac%20Winner/Desktop/thepreciousapartment/www.the99apartments.com/_next/static/uL4oWBUllxCoJ0c9a_i_6/_ssgManifest.js	(from https://www.the99apartments.com/)
15:45:18	9043/9043	---MCZ	200	added ('OK')	text/html	date:Thu,%2004%20Jul%202024%2022:45:19%20GMT	https://www.the99apartments.com/login	C:/Users/Isaac%20Winner/Desktop/thepreciousapartment/www.the99apartments.com/login.html	(from https://www.the99apartments.com/)
15:45:18	12931/12931	---MCZ	200	added ('OK')	text/html	date:Thu,%2004%20Jul%202024%2022:45:19%20GMT	https://www.the99apartments.com/sign-up	C:/Users/Isaac%20Winner/Desktop/thepreciousapartment/www.the99apartments.com/sign-up.html	(from https://www.the99apartments.com/)
15:45:19	122647/122647	---MCZ	200	added ('OK')	text/html	date:Thu,%2004%20Jul%202024%2022:45:19%20GMT	https://www.the99apartments.com/about	C:/Users/Isaac%20Winner/Desktop/thepreciousapartment/www.the99apartments.com/about.html	(from https://www.the99apartments.com/)
15:45:19	59791/59791	---MCZ	200	added ('OK')	text/html	date:Thu,%2004%20Jul%202024%2022:45:20%20GMT	https://www.the99apartments.com/spliteazy	C:/Users/Isaac%20Winner/Desktop/thepreciousapartment/www.the99apartments.com/spliteazy.html	(from https://www.the99apartments.com/)
15:45:19	59773/59773	---MCZ	200	added ('OK')	text/html	date:Thu,%2004%20Jul%202024%2022:45:20%20GMT	https://www.the99apartments.com/payeazy	C:/Users/Isaac%20Winner/Desktop/thepreciousapartment/www.the99apartments.com/payeazy.html	(from https://www.the99apartments.com/)
15:45:20	477/477	---M--	200	added ('OK')	image/png	etag:Hxur43P5nl9xxCvwXUk6dP7YnUmt6HKDalqyQjUdrmE=	https://www.the99apartments.com/_next/image?url=%2Fproduct-logo.png&w=128&q=75	C:/Users/Isaac%20Winner/Desktop/thepreciousapartment/www.the99apartments.com/_next/product-logoc6e9.png	(from https://www.the99apartments.com/)
15:45:20	31818/31818	---M--	200	added ('OK')	image/png	etag:5+IITnj-Wyljh43zTcTH6H5Ga2pGFIlL1n+GdDkv14k=	https://www.the99apartments.com/_next/image?url=%2Fshortlets.png&w=640&q=75	C:/Users/Isaac%20Winner/Desktop/thepreciousapartment/www.the99apartments.com/_next/shortlets98a6.png	(from https://www.the99apartments.com/)
15:45:21	33410/33410	---M--	200	added ('OK')	image/png	etag:kXfcoHYXN3ovBKazM2Oo85jpvCvs5a5cxud0JOqdKEs=	https://www.the99apartments.com/_next/image?url=%2Fshared-housing.png&w=640&q=75	C:/Users/Isaac%20Winner/Desktop/thepreciousapartment/www.the99apartments.com/_next/shared-housing3dc3.png	(from https://www.the99apartments.com/)
15:45:21	37080/37080	---M--	200	added ('OK')	image/png	etag:5sGMOPZjjIE+QPHxQ2DQ+HkEG-0ziXiX24x2bsEgNRE=	https://www.the99apartments.com/_next/image?url=%2Fcredit.png&w=640&q=75	C:/Users/Isaac%20Winner/Desktop/thepreciousapartment/www.the99apartments.com/_next/creditac13.png	(from https://www.the99apartments.com/)
